timestamp,lat,lon,hMSL,fixType,numSV
095301.00,60.31947333333333,24.8308435,83.8,2,12
095302.00,60.319473833333326,24.830844000000003,83.9,2,12
095303.00,60.31947400000001,24.830844499999998,83.9,2,12
095304.00,60.31947433333333,24.830845333333333,84.1,2,12
095306.00,60.31947616666666,24.830845833333335,84.5,2,12
095307.00,60.319477000000006,24.830845999999998,84.8,2,12
095308.00,60.31947783333333,24.830846333333337,85.0,2,12
095309.00,60.31947916666666,24.83084666666667,85.4,2,12
095310.00,60.319480000000006,24.830846833333332,85.6,2,12
095312.00,60.31948183333334,24.830847499999997,86.0,2,12
095313.00,60.319482333333326,24.830847666666667,86.2,2,12
095314.00,60.31948316666667,24.830847833333337,86.4,2,12
095315.00,60.31948366666667,24.830848333333332,86.5,2,12
095317.00,60.31948483333334,24.830849833333332,87.0,2,12
095318.00,60.319485500000006,24.830850666666667,87.3,2,12
095319.00,60.319486000000005,24.830850833333336,87.5,2,12
095320.00,60.3194865,24.830851,87.6,2,12
095322.00,60.319487333333335,24.8308515,88.0,2,12
095323.00,60.319488,24.830851999999997,88.2,2,12
095324.00,60.319488666666665,24.8308525,88.5,2,12
095325.00,60.31948933333333,24.830853,88.7,2,12
095327.00,60.319490333333334,24.8308545,89.3,2,12
095328.00,60.31949066666666,24.830854999999996,89.4,2,12
095329.00,60.319491,24.830855666666668,89.6,2,12
095330.00,60.319491333333325,24.830856333333333,89.8,2,12
095331.00,60.319491500000005,24.8308575,90.1,2,12
095333.00,60.31949183333333,24.83086033333333,90.6,2,12
095334.00,60.31949216666667,24.830861833333334,90.9,2,12
095335.00,60.31949233333333,24.83086316666667,91.2,2,12
095336.00,60.319492999999994,24.830864833333333,91.6,2,12
095338.00,60.319495,24.830868833333337,92.7,2,12
095339.00,60.319496166666674,24.8308705,93.2,2,12
095340.00,60.319497333333324,24.830872333333332,93.8,2,12
095341.00,60.31949833333333,24.830874333333334,94.3,2,12
095343.00,60.31950083333333,24.83087833333333,95.4,2,12
095344.00,60.319501499999994,24.830880166666663,95.8,2,12
095345.00,60.319501833333334,24.8308815,96.1,2,12
095346.00,60.31950266666666,24.830883000000004,96.5,2,12
095348.00,60.31950483333333,24.83088566666667,97.3,2,12
095349.00,60.31950533333334,24.8308865,97.5,2,12
095350.00,60.319506000000004,24.830887333333333,97.7,2,12
095351.00,60.31950616666666,24.830888166666668,97.7,2,12
095352.00,60.31950666666667,24.830889166666665,97.9,2,12
095354.00,60.31951016666667,24.830889666666668,98.7,2,12
095355.00,60.31951233333333,24.830890333333333,99.1,2,12
095356.00,60.31951433333334,24.830890666666665,99.5,2,12
095357.00,60.319516166666666,24.830891166666667,100.0,2,12
095359.00,60.31951966666667,24.830892000000002,100.6,2,12
095400.00,60.31952066666666,24.830892000000002,100.8,2,12
095401.00,60.319521,24.830892833333337,100.9,2,12
095402.00,60.319520499999996,24.830894333333337,100.9,2,12
095404.00,60.31951949999999,24.830896666666664,101.1,2,12
095405.00,60.319519166666666,24.8308975,101.2,2,12
095406.00,60.319518833333326,24.830898499999996,101.4,2,12
095407.00,60.31951816666666,24.83089916666667,101.5,2,12
095409.00,60.319517833333336,24.830901166666663,101.6,2,12
095410.00,60.319517,24.830902833333333,101.6,2,12
095411.00,60.31951649999999,24.830903666666668,101.6,2,12
095412.00,60.31951600000001,24.830904666666665,101.5,2,12
095413.00,60.31951533333333,24.83090533333333,101.4,2,12
095415.00,60.31951466666666,24.83090666666667,101.3,2,12
095416.00,60.31951433333334,24.830907333333336,101.2,2,12
095417.00,60.31951433333334,24.830908333333333,101.3,2,12
095418.00,60.3195155,24.830909333333338,101.5,2,12
095420.00,60.319517833333336,24.830911666666665,102.0,2,12
095421.00,60.319518,24.830912833333333,102.1,2,12
095422.00,60.31951833333333,24.830913666666667,102.2,2,12
095423.00,60.31951833333333,24.830914333333332,102.3,2,12
095425.00,60.3195185,24.830915333333337,102.4,2,12
095426.00,60.31951866666667,24.83091566666667,102.5,2,12
095427.00,60.31951933333333,24.830916166666665,102.7,2,12
095428.00,60.31951949999999,24.830916000000002,102.7,2,12
095430.00,60.31952,24.830916333333334,102.8,2,12
095431.00,60.31952133333333,24.830916333333334,103.0,2,12
095432.00,60.31952233333333,24.830916166666665,103.2,2,12
095433.00,60.319523333333336,24.830916499999997,103.4,2,12
095434.00,60.319524666666666,24.830916833333337,103.8,2,12
095436.00,60.319526333333336,24.830917,104.2,2,12
095437.00,60.31952716666667,24.83091716666667,104.4,2,12
095438.00,60.31952816666667,24.830917333333332,104.7,2,12
095439.00,60.319529166666676,24.8309175,105.0,2,12
095441.00,60.319530333333326,24.8309175,105.3,2,12
095442.00,60.31953116666667,24.830917833333334,105.5,2,12
095443.00,60.319533,24.830918166666667,105.9,2,12
095444.00,60.319534499999996,24.830918333333337,106.3,2,12
095446.00,60.319536666666664,24.8309185,106.7,2,12
095447.00,60.319537000000004,24.830918333333337,106.8,2,12
095448.00,60.319537833333335,24.830918333333337,107.0,2,12
095449.00,60.31953866666666,24.830917999999997,107.2,2,12
095451.00,60.319539666666664,24.83091716666667,107.3,2,12
095452.00,60.31954033333333,24.830917,107.4,2,12
095453.00,60.319540999999994,24.83091716666667,107.6,2,12
095454.00,60.31954183333334,24.83091716666667,107.8,2,12
095455.00,60.31954266666666,24.830917333333332,108.0,2,12
095457.00,60.31954366666667,24.8309175,108.2,2,12
095458.00,60.31954399999999,24.830917833333334,108.2,2,12
095459.00,60.3195445,24.830918166666667,108.4,2,12
095500.00,60.31954483333334,24.83091866666667,108.5,2,12
095502.00,60.31954533333332,24.830919166666664,108.8,2,12
095503.00,60.31954583333333,24.830919666666667,109.0,2,12
095504.00,60.31954600000001,24.830919499999997,109.1,2,12
095507.00,60.319546499999994,24.830920999999996,109.5,2,12
095508.00,60.319546666666675,24.83092166666667,109.7,2,12
095509.00,60.319546666666675,24.830922,109.7,2,12
095510.00,60.319546666666675,24.83092183333333,109.8,2,12
095511.00,60.319546499999994,24.83092183333333,109.8,2,12
095512.00,60.319546666666675,24.830922,109.9,2,12
095513.00,60.319546666666675,24.830922666666666,110.1,2,12
095514.00,60.319546666666675,24.830923,110.2,2,12
095515.00,60.31954633333333,24.830923,110.2,2,12
095516.00,60.31954600000001,24.830923,110.2,2,12
095518.00,60.319545500000004,24.830922333333334,110.3,2,12
095519.00,60.31954600000001,24.830922833333336,110.7,2,12
095520.00,60.31954566666666,24.830922666666666,110.7,2,12
095521.00,60.319545500000004,24.830922333333334,110.7,2,12
095522.00,60.31954533333332,24.830922166666664,110.7,2,12
095523.00,60.319545,24.83092166666667,110.7,2,12
095524.00,60.31954466666666,24.830921166666666,110.6,2,12
095525.00,60.3195445,24.830920999999996,110.7,2,12
095526.00,60.31954433333333,24.830920666666664,110.8,2,12
095527.00,60.31954399999999,24.83092033333333,110.8,2,12
095528.00,60.31954399999999,24.83092033333333,110.9,2,12
095529.00,60.31954333333333,24.830919499999997,110.7,2,12
095530.00,60.31954283333333,24.830919,110.5,2,12
